command	count	first_seen_utc	last_seen_utc	workdir_count	source_log_count	examples
bash -lc git status -sb	49	2025-11-07T08:28:03.581000+00:00	2025-11-14T08:13:26.266000+00:00	3	13	bash -lc git status -sb
bash -lc python3 codex/export_codex_shell_stats.py	23	2025-11-14T09:23:35.290000+00:00	2025-11-14T10:06:52.104000+00:00	1	1	bash -lc python3 codex/export_codex_shell_stats.py
bash -lc ls	14	2025-11-07T08:27:20.029000+00:00	2025-11-14T08:06:43.076000+00:00	2	12	bash -lc ls
bash -lc git tag	12	2025-11-13T15:54:59.373000+00:00	2025-11-13T17:58:49.195000+00:00	3	2	bash -lc git tag
bash -lc cd /Users/agi/PycharmProjects/thales_agilab && git status -sb	10	2025-11-07T18:23:02.673000+00:00	2025-11-13T16:59:09.948000+00:00	1	3	bash -lc cd /Users/agi/PycharmProjects/thales_agilab && git status -sb
bash -lc sed -n '100,200p' codex/codex_shell_summary.md	8	2025-11-14T09:37:12.050000+00:00	2025-11-14T10:06:56.860000+00:00	1	1	bash -lc sed -n '100,200p' codex/codex_shell_summary.md
bash -lc git count-objects -vH	7	2025-11-13T15:34:57.747000+00:00	2025-11-13T16:01:33.314000+00:00	2	1	bash -lc git count-objects -vH
bash -lc git verify-pack -v $(git rev-parse --git-dir)/objects/pack/pack-*.idx | sort -k3 -n | tail	7	2025-11-13T15:35:06.378000+00:00	2025-11-13T16:01:42.066000+00:00	3	1	bash -lc git verify-pack -v $(git rev-parse --git-dir)/objects/pack/pack-*.idx | sort -k3 -n | tail
bash -lc python3 -m compileall src/agilab/pages/'▶️ EXECUTE.py'	7	2025-11-10T13:54:36.754000+00:00	2025-11-10T15:04:07.371000+00:00	1	1	bash -lc python3 -m compileall src/agilab/pages/'▶️ EXECUTE.py'
bash -lc git ls-remote --tags origin	6	2025-11-13T17:24:05.834000+00:00	2025-11-13T17:26:40.298000+00:00	2	1	bash -lc git ls-remote --tags origin
