session	files	docs	tests	installs	sample_paths
2025/11/07/rollout-2025-11-07T09-22-27-019a5d68-e838-75c3-87b9-d9a2dc7c25c5.jsonl	591	62	111	43	.../apps/flight_project/src/app_args_form.py; .../apps/flight_project/src/app_settings.toml; .../apps/flight_project/src/flight/flight.py
2025/11/13/rollout-2025-11-13T10-41-38-019a7c97-9018-74e0-9d34-ef42ed4637c6.jsonl	565	92	38	38	-licenses.md; .../app_args.py; ../thales_agilab/docs/source/architecture.rst
2025/11/14/rollout-2025-11-14T08-55-58-019a815d-2da4-7f31-89e5-bf038714b3ab.jsonl	493	17	45	39	-licenses.md; .../app_args.py; .../apps/flight_project/src/app_args_form.py
2025/11/10/rollout-2025-11-10T10-47-05-019a6d29-765f-7bc2-b0a4-5cb0eb5f8d5d.jsonl	310	8	40	41	../../examples/link_sim/AGI_run_link_sim.py; ../../examples/mycode/AGI_run_mycode.py; ../../examples/sat_trajectory/AGI_run_sat_trajectory.py
2025/11/12/rollout-2025-11-12T09-38-26-019a7737-5664-76e1-a98c-da6050d64749.jsonl	299	0	32	30	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /.local/share/uv/python/cpython-3.13.9-macos-aarch64-none/lib/python3.13/asyncio/base_events.py
2025/11/08/rollout-2025-11-08T09-50-21-019a62a8-cd85-7b32-938c-17d0681ba22b.jsonl	262	7	17	29	...lab/apps/install.py; ../../apps-pages.html; ../apps-pages.html
2025/11/07/rollout-2025-11-07T18-59-38-019a5f79-54b6-7782-a862-c2e6a6a78c14.jsonl	258	3	67	21	../../examples/flight_trajectory/AGI.run_flight_trajectory.py; ./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py
2025/11/13/rollout-2025-11-13T08-06-00-019a7c09-1205-7452-beff-d62b6b06974b.jsonl	237	12	42	31	.../core/agi-env/src/agi_env/agi_env.py; ../../.local/share/uv/python/cpython-3.13.9-macos-aarch64-none/lib/python3.13/pathlib/_local.py; ../../core/agi-node/src/agi_node/agi_dispatcher/post_install.py
2025/11/06/rollout-2025-11-06T15-22-29-019a598c-28f7-79d1-80eb-c5b70a0a569b.jsonl	198	0	25	52	./install.sh; ./install_apps.sh; ./install_enduser.sh
2025/11/07/rollout-2025-11-07T17-53-36-019a5f3c-e203-7fc0-ba63-e67035a41a4e.jsonl	196	5	18	39	../agilab/docs/html/_modules/agi_env/agi_env.html; ./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py
