# Agi-env Licenses

This page is a generated inventory of **third-party Python packages** used by the component at documentation build time.
It does **not** change the AGILab source license; refer to the repository root `LICENSE`/`NOTICE` and any vendored license texts under `LICENSES/`.

| Package Name | License |
|--------------|---------|
| altair | BSD LICENSE |
| annotated-types | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| attrs | MIT LICENSE |
| backports-zstd | PSF-2.0 |
| blinker | MIT LICENSE |
| brotli | MIT |
| cachetools | MIT |
| certifi | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| charset-normalizer | MIT |
| click | BSD-3-CLAUSE |
| cmake | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| decorator | BSD LICENSE |
| executing | MIT LICENSE |
| gitdb | BSD LICENSE |
| gitpython | BSD-3-CLAUSE |
| humanize | MIT License |
| idna | BSD-3-CLAUSE |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| ipython | BSD-3-CLAUSE |
| ipython-pygments-lexers | BSD LICENSE |
| jedi | MIT LICENSE |
| jinja2 | BSD LICENSE |
| jsonschema | MIT |
| jsonschema-specifications | MIT |
| llvmlite | APACHE-2.0 WITH LLVM-EXCEPTION;; BSD-2-CLAUSE |
| markupsafe | BSD-3-CLAUSE |
| matplotlib-inline | BSD-3-Clause |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| narwhals | MIT LICENSE |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| parso | MIT LICENSE |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| pexpect | ISC LICENSE _ISCL_ |
| pillow | MIT-CMU |
| prompt-toolkit | BSD LICENSE |
| protobuf | 3-CLAUSE BSD LICENSE |
| psutil | BSD-3-CLAUSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure-eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pyarrow | APACHE SOFTWARE LICENSE |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT |
| pydantic-core | MIT |
| pydeck | APACHE LICENSE 2.0 |
| pygments | BSD LICENSE |
| pyppmd | LGPL-2.1-OR-LATER |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD-3-CLAUSE |
| pytz | MIT LICENSE |
| referencing | MIT License |
| requests | APACHE SOFTWARE LICENSE |
| rpds-py | MIT |
| setuptools | MIT |
| six | MIT LICENSE |
| smmap | BSD LICENSE |
| stack-data | MIT LICENSE |
| streamlit | APACHE SOFTWARE LICENSE |
| tenacity | APACHE SOFTWARE LICENSE |
| texttable | MIT LICENSE |
| toml | MIT LICENSE |
| tomlkit | MIT LICENSE |
| tornado | APACHE SOFTWARE LICENSE |
| traitlets | BSD LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspection | MIT |
| tzdata | APACHE-2.0 |
| urllib3 | MIT |
| wcwidth | MIT LICENSE |
