# Agi-node Licenses

This page is a generated inventory of **third-party Python packages** used by the component at documentation build time.
It does **not** change the AGILab source license; refer to the repository root `LICENSE`/`NOTICE` and any vendored license texts under `LICENSES/`.

| Package Name | License |
|--------------|---------|
| backports-zstd | PSF-2.0 |
| brotli | MIT |
| click | BSD-3-CLAUSE |
| cloudpickle | BSD LICENSE |
| cmake | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| cython | APACHE SOFTWARE LICENSE |
| dask | BSD-3-CLAUSE |
| distributed | BSD-3-CLAUSE |
| fsspec | BSD-3-CLAUSE |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| jinja2 | BSD LICENSE |
| joblib | BSD-3-CLAUSE |
| llvmlite | APACHE-2.0 WITH LLVM-EXCEPTION;; BSD-2-CLAUSE |
| locket | BSD LICENSE |
| markupsafe | BSD-3-CLAUSE |
| msgpack | APACHE-2.0 |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| parso | MIT LICENSE |
| partd | BSD |
| polars | MIT LICENSE |
| polars-runtime-32 | MIT LICENSE |
| psutil | BSD-3-CLAUSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pyppmd | LGPL-2.1-OR-LATER |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD-3-CLAUSE |
| pyyaml | MIT LICENSE |
| scikit-learn | BSD-3-CLAUSE |
| scipy | BSD LICENSE |
| setuptools | MIT |
| six | MIT LICENSE |
| sortedcontainers | APACHE SOFTWARE LICENSE |
| tblib | BSD-2-CLAUSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tomli | MIT |
| toolz | BSD-3-CLAUSE |
| tornado | APACHE SOFTWARE LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspection | MIT |
| urllib3 | MIT |
| wheel | MIT LICENSE |
| zict | BSD LICENSE |
