# Core Licenses
| Package Name | License |
|--------------|---------|
| annotated-types | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| bcrypt | APACHE SOFTWARE LICENSE |
| brotli | MIT LICENSE |
| cffi | MIT LICENSE |
| cryptography | APACHE-2.0;; BSD-3-CLAUSE |
| cython | APACHE SOFTWARE LICENSE |
| decorator | BSD LICENSE |
| env | BSD LICENSE |
| executing | MIT LICENSE |
| humanize | MIT License |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| ipython | BSD LICENSE |
| ipython-pygments-lexers | BSD LICENSE |
| jedi | MIT LICENSE |
| joblib | BSD LICENSE |
| llvmlite | BSD |
| logging | COPYRIGHT _C_ 2001-2005 BY VINAY SAJIP. ALL RIGHTS RESERVED. SEE LICENSE FOR LICENSE. |
| matplotlib-inline | BSD LICENSE |
| msgpack | APACHE SOFTWARE LICENSE |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| paramiko | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| parso | MIT LICENSE |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| pexpect | ISC LICENSE _ISCL_ |
| prompt-toolkit | BSD LICENSE |
| psutil | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure-eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycparser | BSD LICENSE |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT LICENSE |
| pydantic-core | MIT LICENSE |
| pygments | BSD LICENSE |
| pynacl | APACHE LICENSE 2.0 |
| pyppmd | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| python-dotenv | BSD LICENSE |
| pyzstd | BSD LICENSE |
| scikit-learn | BSD LICENSE |
| scipy | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| setuptools | MIT |
| stack-data | MIT LICENSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tomli | MIT LICENSE |
| tomlkit | MIT LICENSE |
| traitlets | BSD LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspection | MIT LICENSE |
| wcwidth | MIT LICENSE |
