# Env Licenses
| Package Name | License |
|--------------|---------|
| annotated-types | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| bcrypt | APACHE SOFTWARE LICENSE |
| cffi | MIT LICENSE |
| cryptography | APACHE-2.0;; BSD-3-CLAUSE |
| decorator | BSD LICENSE |
| executing | MIT LICENSE |
| humanize | MIT License |
| ipython | BSD LICENSE |
| ipython-pygments-lexers | BSD LICENSE |
| jedi | MIT LICENSE |
| matplotlib-inline | BSD LICENSE |
| paramiko | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| parso | MIT LICENSE |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| pexpect | ISC LICENSE _ISCL_ |
| prompt-toolkit | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure-eval | MIT LICENSE |
| pycparser | BSD LICENSE |
| pydantic | MIT LICENSE |
| pydantic-core | MIT LICENSE |
| pygments | BSD LICENSE |
| pynacl | APACHE LICENSE 2.0 |
| python-dotenv | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| setuptools | MIT |
| stack-data | MIT LICENSE |
| tomlkit | MIT LICENSE |
| traitlets | BSD LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspection | MIT LICENSE |
| wcwidth | MIT LICENSE |
