# Gui Licenses
| Package Name | License |
|--------------|---------|
| absl-py | APACHE SOFTWARE LICENSE |
| ai21 | Apache License 2.0 |
| aiohappyeyeballs | PYTHON SOFTWARE FOUNDATION LICENSE |
| aiohttp | APACHE-2.0 |
| aiolimiter | MIT LICENSE |
| aiosignal | APACHE SOFTWARE LICENSE |
| alembic | MIT |
| altair | BSD LICENSE |
| altex | APACHE-2.0 |
| annotated-types | MIT LICENSE |
| anthropic | MIT LICENSE |
| anyio | MIT LICENSE |
| appnope | BSD LICENSE |
| argon2-cffi | MIT |
| argon2-cffi-bindings | MIT LICENSE |
| arrow | APACHE SOFTWARE LICENSE |
| arxiv | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| async-lru | MIT LICENSE |
| asyncssh | EPL-2.0;; GPL-2.0-OR-LATER |
| attrs | MIT LICENSE |
| babel | BSD LICENSE |
| bce-python-sdk | APACHE LICENSE 2.0 |
| bcrypt | APACHE SOFTWARE LICENSE |
| beautifulsoup4 | MIT LICENSE |
| bleach | APACHE SOFTWARE LICENSE |
| blinker | MIT LICENSE |
| boto3 | APACHE SOFTWARE LICENSE |
| botocore | APACHE SOFTWARE LICENSE |
| brotli | MIT LICENSE |
| cachetools | MIT LICENSE |
| certifi | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| cffi | MIT LICENSE |
| charset-normalizer | MIT LICENSE |
| click | BSD-3-CLAUSE |
| cloudpickle | BSD LICENSE |
| cluster | GNU LESSER GENERAL PUBLIC LICENSE V2 _LGPLV2_ |
| cohere | MIT LICENSE |
| comm | BSD LICENSE |
| contourpy | BSD LICENSE |
| cramjam | MIT |
| cryptography | APACHE-2.0;; BSD-3-CLAUSE |
| cycler | BSD LICENSE |
| cython | APACHE SOFTWARE LICENSE |
| dask | BSD LICENSE |
| databricks-sdk | APACHE SOFTWARE LICENSE |
| dataclasses-json | MIT LICENSE |
| debugpy | MIT LICENSE |
| decorator | BSD LICENSE |
| deepmerge | MIT LICENSE |
| defusedxml | PYTHON SOFTWARE FOUNDATION LICENSE |
| deprecation | APACHE SOFTWARE LICENSE |
| dill | BSD LICENSE |
| diskcache | APACHE SOFTWARE LICENSE |
| distributed | BSD LICENSE |
| distro | APACHE SOFTWARE LICENSE |
| docker | APACHE SOFTWARE LICENSE |
| entrypoints | MIT LICENSE |
| env | BSD LICENSE |
| eval-type-backport | MIT LICENSE |
| executing | MIT LICENSE |
| faiss-cpu | MIT |
| faker | MIT LICENSE |
| fastapi | MIT LICENSE |
| fastavro | MIT LICENSE |
| fastjsonschema | BSD LICENSE |
| fastparquet | APACHE SOFTWARE LICENSE |
| favicon | MIT LICENSE |
| feedparser | BSD LICENSE |
| filelock | THE UNLICENSE _UNLICENSE_ |
| filetype | MIT LICENSE |
| flask | BSD-3-CLAUSE |
| fonttools | MIT |
| fqdn | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| frozenlist | APACHE-2.0 |
| fsspec | BSD LICENSE |
| future | MIT LICENSE |
| geojson | BSD LICENSE |
| gitdb | BSD LICENSE |
| gitpython | BSD LICENSE |
| google-ai-generativelanguage | APACHE SOFTWARE LICENSE |
| google-api-core | APACHE SOFTWARE LICENSE |
| google-auth | APACHE SOFTWARE LICENSE |
| googleapis-common-protos | APACHE SOFTWARE LICENSE |
| gpt4all | MIT LICENSE |
| graphene | MIT |
| graphql-core | MIT LICENSE |
| graphql-relay | MIT LICENSE |
| grpcio | APACHE SOFTWARE LICENSE |
| grpcio-status | APACHE SOFTWARE LICENSE |
| gunicorn | MIT LICENSE |
| h11 | MIT LICENSE |
| h5py | BSD-3-CLAUSE |
| hf-xet | APACHE-2.0 |
| htbuilder | APACHE SOFTWARE LICENSE |
| httpcore | BSD LICENSE |
| httpx | BSD LICENSE |
| httpx-sse | MIT |
| huggingface-hub | APACHE SOFTWARE LICENSE |
| humanize | MIT License |
| idna | BSD LICENSE |
| importlib-metadata | APACHE SOFTWARE LICENSE |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| iniconfig | MIT LICENSE |
| ipykernel | BSD LICENSE |
| ipython | BSD LICENSE |
| ipython-pygments-lexers | BSD LICENSE |
| ipywidgets | BSD LICENSE |
| isoduration | ISC LICENSE _ISCL_ |
| itsdangerous | BSD LICENSE |
| jedi | MIT LICENSE |
| jinja2 | BSD LICENSE |
| jiter | MIT LICENSE |
| jmespath | MIT LICENSE |
| joblib | BSD LICENSE |
| json5 | APACHE SOFTWARE LICENSE |
| jsonpatch | BSD LICENSE |
| jsonpath-ng | APACHE SOFTWARE LICENSE |
| jsonpointer | BSD LICENSE |
| jsonschema | MIT |
| jsonschema-specifications | MIT |
| jupyter | BSD LICENSE |
| jupyter-ai | BSD LICENSE |
| jupyter-ai-magics | BSD LICENSE |
| jupyter-client | BSD LICENSE |
| jupyter-console | BSD LICENSE |
| jupyter-core | BSD-3-CLAUSE |
| jupyter-events | BSD LICENSE |
| jupyter-lsp | BSD LICENSE |
| jupyter-server | BSD LICENSE |
| jupyter-server-terminals | BSD LICENSE |
| jupyterlab | BSD LICENSE |
| jupyterlab-pygments | BSD LICENSE |
| jupyterlab-server | BSD LICENSE |
| jupyterlab-widgets | BSD LICENSE |
| keras | APACHE LICENSE 2.0 |
| kiwisolver | BSD LICENSE |
| langchain | MIT |
| langchain-anthropic | MIT |
| langchain-aws | MIT LICENSE |
| langchain-cohere | MIT LICENSE |
| langchain-community | MIT |
| langchain-core | MIT |
| langchain-google-genai | MIT LICENSE |
| langchain-mistralai | MIT |
| langchain-nvidia-ai-endpoints | MIT LICENSE |
| langchain-ollama | MIT |
| langchain-openai | MIT |
| langchain-text-splitters | MIT |
| langsmith | MIT LICENSE |
| llvmlite | BSD |
| locket | BSD LICENSE |
| logging | COPYRIGHT _C_ 2001-2005 BY VINAY SAJIP. ALL RIGHTS RESERVED. SEE LICENSE FOR LICENSE. |
| lxml | BSD LICENSE |
| mako | MIT LICENSE |
| markdown | BSD-3-CLAUSE |
| markdown-it-py | MIT LICENSE |
| markdownlit | Apache License 2.0 |
| markupsafe | BSD LICENSE |
| marshmallow | MIT LICENSE |
| matplotlib | PYTHON SOFTWARE FOUNDATION LICENSE |
| matplotlib-inline | BSD LICENSE |
| mdurl | MIT LICENSE |
| mistune | BSD LICENSE |
| ml-dtypes | APACHE SOFTWARE LICENSE |
| mlflow | APACHE SOFTWARE LICENSE |
| mlflow-skinny | APACHE SOFTWARE LICENSE |
| msgpack | APACHE 2.0 |
| multidict | APACHE LICENSE 2.0 |
| multiprocess | BSD LICENSE |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| mypy | MIT LICENSE |
| mypy-extensions |  |
| namex | Apache License 2.0 |
| narwhals | MIT LICENSE |
| nbclient | BSD LICENSE |
| nbconvert | BSD LICENSE |
| nbformat | BSD LICENSE |
| nest-asyncio | BSD LICENSE |
| networkx | BSD LICENSE |
| node | BSD LICENSE |
| notebook | BSD LICENSE |
| notebook-shim | BSD LICENSE |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| ollama |  |
| openai | APACHE SOFTWARE LICENSE |
| opentelemetry-api | APACHE SOFTWARE LICENSE |
| opentelemetry-sdk | APACHE SOFTWARE LICENSE |
| opentelemetry-semantic-conventions | APACHE SOFTWARE LICENSE |
| optree | APACHE-2.0 |
| orjson | APACHE SOFTWARE LICENSE;; MIT LICENSE |
| overrides | APACHE LICENSE_ VERSION 2.0 |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| pandocfilters | BSD LICENSE |
| paramiko | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| parso | MIT LICENSE |
| partd | BSD |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| pexpect | ISC LICENSE _ISCL_ |
| pillow | MIT-CMU |
| platformdirs | MIT LICENSE |
| plotly | MIT LICENSE |
| pluggy | MIT LICENSE |
| ply | BSD |
| polars | MIT LICENSE |
| prometheus-client | APACHE-2.0;; BSD-2-CLAUSE |
| prompt-toolkit | BSD LICENSE |
| propcache | APACHE SOFTWARE LICENSE |
| proto-plus | APACHE SOFTWARE LICENSE |
| protobuf | 3-CLAUSE BSD LICENSE |
| psutil | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
