# Node Licenses
| Package Name | License |
|--------------|---------|
| annotated-types | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| bcrypt | APACHE SOFTWARE LICENSE |
| brotli | MIT LICENSE |
| cffi | MIT LICENSE |
| click | BSD-3-CLAUSE |
| cloudpickle | BSD LICENSE |
| cryptography | APACHE-2.0;; BSD-3-CLAUSE |
| cython | APACHE SOFTWARE LICENSE |
| dask | BSD LICENSE |
| decorator | BSD LICENSE |
| distributed | BSD LICENSE |
| env | BSD LICENSE |
| executing | MIT LICENSE |
| fsspec | BSD LICENSE |
| humanize | MIT License |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| ipython | BSD LICENSE |
| ipython-pygments-lexers | BSD LICENSE |
| jedi | MIT LICENSE |
| jinja2 | BSD LICENSE |
| joblib | BSD LICENSE |
| llvmlite | BSD |
| locket | BSD LICENSE |
| logging | COPYRIGHT _C_ 2001-2005 BY VINAY SAJIP. ALL RIGHTS RESERVED. SEE LICENSE FOR LICENSE. |
| markupsafe | BSD LICENSE |
| matplotlib-inline | BSD LICENSE |
| msgpack | APACHE 2.0 |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| paramiko | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| parso | MIT LICENSE |
| partd | BSD |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| pexpect | ISC LICENSE _ISCL_ |
| polars | MIT LICENSE |
| prompt-toolkit | BSD LICENSE |
| psutil | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure-eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycparser | BSD LICENSE |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT LICENSE |
| pydantic-core | MIT LICENSE |
| pygments | BSD LICENSE |
| pynacl | APACHE LICENSE 2.0 |
| pyppmd | LGPL-2.1-OR-LATER |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD LICENSE |
| pytz | MIT LICENSE |
| pyyaml | MIT LICENSE |
| pyzstd | BSD LICENSE |
| scikit-learn | BSD LICENSE |
| scipy | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| setuptools | MIT |
| six | MIT LICENSE |
| sortedcontainers | APACHE SOFTWARE LICENSE |
| stack-data | MIT LICENSE |
| tblib | BSD-2-CLAUSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tomli | MIT LICENSE |
| tomlkit | MIT LICENSE |
| toolz | BSD LICENSE |
| tornado | APACHE SOFTWARE LICENSE |
| traitlets | BSD LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspection | MIT |
| tzdata | APACHE SOFTWARE LICENSE |
| urllib3 | MIT |
| wcwidth | MIT LICENSE |
| wheel | MIT LICENSE |
| zict | BSD LICENSE |
